id,name,min_diameter_m,max_diameter_m,absolute_magnitude_h,close_approach_datetime,relative_velocity_kmps,miss_distance_lunar,orbiting_body,first_observation_date,last_observation_date,orbit_id,orbit_determination_datetime,orbit_uncertainty,orbit_observations_used,orbital_period_days,orbit_class,min_orbit_intersection,is_potentially_hazardous,is_sentry_object,nasa_jpl_url
2509073,509073 (2005 UM5),201.63,450.86,20.6,2021-07-11 02:21,18.31,170.52,Earth,2005-10-27,2017-11-16,27,2021-04-14 18:34:45,1,59,486.8168513016179,APO,.0503878,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2509073
2401885,401885 (2001 RV17),211.13,472.11,20.5,2021-07-11 04:05,10.89,41.21,Earth,2001-09-01,2015-10-24,53,2021-04-14 12:03:49,0,181,319.426660083673,ATE,.0972534,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2401885
3772395,(2017 FT64),35.04,78.35,24.4,2021-07-11 05:31,6.5,143.52,Earth,2017-03-19,2017-03-24,4,2021-04-15 18:51:26,7,14,462.6475507937611,APO,.0335347,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3772395
54097670,(2020 WU5),488.15,1091.54,18.68,2021-07-11 06:04,20.58,61.88,Earth,2020-11-29,2021-06-21,33,2021-06-21 06:25:45,2,174,397.8319156453655,APO,.040836,true,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54097670
3840729,(2019 FB2),13.32,29.79,26.5,2021-07-11 08:18,22.98,172.8,Earth,2019-03-31,2019-04-07,8,2021-04-15 21:06:25,6,74,324.3464355402673,ATE,.00102127,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3840729
54106084,(2021 BB),6.62,14.79,28.02,2021-07-11 10:48,5.92,60.67,Earth,2021-01-16,2021-01-16,4,2021-04-15 23:23:59,6,27,329.0743266935156,ATE,.00843494,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54106084
3560816,(2011 FR29),105.82,236.61,22,2021-07-11 13:28,8.56,34.08,Earth,2011-03-30,2021-07-02,24,2021-07-03 06:40:07,1,114,397.0905107055193,APO,.0609312,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3560816
2445775,445775 (2011 YA),497.23,1111.83,18.64,2021-07-11 16:16,16.45,99.51,Earth,2011-12-16,2021-01-13,69,2021-04-14 14:55:52,0,460,1126.168467842529,APO,.053599,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2445775
3548525,(2010 TB54),11.6,25.94,26.8,2021-07-11 20:15,8.35,183.29,Earth,2010-10-09,2010-10-12,8,2021-04-15 04:16:08,7,29,451.9982296835527,APO,.0108823,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3548525
54159392,(2021 LO5),176.34,394.31,20.891,2021-07-11 21:24,4.02,177.07,Earth,2021-05-13,2021-06-16,2,2021-06-16 06:20:16,8,29,1147.810706845878,AMO,.238395,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54159392
3781966,(2017 SR19),391.34,875.06,19.16,2021-07-11 21:30,7.82,106.3,Earth,2017-07-30,2021-06-27,55,2021-06-29 06:25:22,0,331,1533.457873881428,AMO,.266186,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3781966
3781003,(2017 QF17),305.18,682.4,19.7,2021-07-11 23:09,8.66,183.19,Earth,2015-07-23,2021-01-16,19,2021-04-15 19:21:08,0,77,750.704717198608,AMO,.205724,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3781003
3079913,(2001 MY7),110.8,247.77,21.9,2021-07-12 03:41,13.44,57.66,Earth,2001-06-21,2021-06-16,21,2021-06-17 06:21:21,0,92,1809.02394561313,AMO,.0788687,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3079913
2441823,441823 (2009 QO5),101.05,225.96,22.1,2021-07-12 09:40,3.71,150.63,Earth,2009-08-18,2021-06-28,35,2021-06-28 06:24:51,0,82,736.149104161621,AMO,.204915,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2441823
3720000,(2015 KT120),25.38,56.76,25.1,2021-07-12 12:30,7.95,102.64,Earth,2015-05-23,2016-06-03,9,2021-04-15 13:47:06,2,20,360.8023558372184,ATE,.130911,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3720000
3843622,(2019 QU2),96.51,215.79,22.2,2021-07-12 14:48,20.96,46.65,Earth,2019-08-23,2019-09-20,5,2021-04-15 21:36:42,6,27,273.0987145375453,ATE,.095795,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3843622
54145082,(2021 JT5),184.23,411.95,20.796,2021-07-12 15:29,11.47,24.37,Earth,2021-05-10,2021-07-02,31,2021-07-03 06:40:21,5,196,1565.168417719962,AMO,.0617819,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54145082
3412890,(2008 KA6),53.03,118.59,23.5,2021-07-12 23:08,6.47,67.15,Earth,2008-05-29,2021-06-09,9,2021-06-09 05:52:32,1,33,474.9499653288075,APO,.0257196,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3412890
